"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"51","17","3",1,3,3,5,3,2,4,4,3,5,3,3,5,3,4,2,27,29,56,3,5,5.35714285714286,8.92857142857143,51.7857142857143,48.2142857142857
"52","17","4",0,3,0,4,0,5,4,5,3,1,5,4,4,4,4,7,21,35,56,7,10,12.5,17.8571428571429,62.5,37.5
"53","17","5",2,3,6,4,7,3,3,7,3,7,4,6,4,6,7,7,37,45,82,9,7,10.9756097560976,8.53658536585366,54.8780487804878,45.1219512195122
"54","17","6",1,2,2,0,0,7,7,1,2,0,4,8,3,5,1,0,22,24,46,1,11,2.17391304347826,23.9130434782609,52.1739130434783,47.8260869565217
"55","18","1",6,6,3,9,2,4,8,6,6,6,2,5,10,4,6,13,45,54,99,19,6,19.1919191919192,6.06060606060606,54.5454545454545,45.4545454545455
"56","18","2",0,3,4,5,2,7,5,7,3,5,5,7,7,5,7,16,35,56,91,16,12,17.5824175824176,13.1868131868132,61.5384615384615,38.4615384615385
"57","18","3",2,1,8,3,9,10,2,5,1,10,12,4,2,6,6,3,42,45,87,5,22,5.74712643678161,25.2873563218391,51.7241379310345,48.2758620689655
"58","18","4",9,3,1,5,4,4,8,7,3,3,7,10,2,13,7,16,41,64,105,25,11,23.8095238095238,10.4761904761905,60.9523809523809,39.0476190476191
"59","18","5",0,0,1,2,1,1,3,4,0,3,1,4,2,4,4,21,13,41,54,21,2,38.8888888888889,3.7037037037037,75.9259259259259,24.0740740740741
"60","18","6",2,2,1,3,2,0,0,3,2,3,1,0,3,1,4,8,15,23,38,10,1,26.3157894736842,2.63157894736842,60.5263157894737,39.4736842105263
"61","19","1",0,5,12,1,9,46,4,7,5,8,43,10,4,7,7,2,85,88,173,2,89,1.15606936416185,51.4450867052023,50.8670520231214,49.1329479768786
"62","19","2",0,0,2,1,0,6,1,3,0,2,4,3,2,1,2,1,13,18,31,1,10,3.2258064516129,32.258064516129,58.0645161290323,41.9354838709677
"63","19","3",0,1,8,4,10,25,6,3,1,11,27,5,1,7,3,0,58,57,115,0,52,0,45.2173913043478,49.5652173913044,50.4347826086956
"64","19","4",1,2,4,1,4,18,2,0,3,3,18,1,1,1,0,0,35,27,62,1,36,1.61290322580645,58.0645161290323,43.5483870967742,56.4516129032258
"65","19","5",0,2,5,3,7,47,5,1,2,6,48,3,1,5,1,0,71,68,139,0,95,0,68.3453237410072,48.9208633093525,51.0791366906475
"66","19","6",0,0,1,0,0,24,4,2,0,1,23,6,1,5,2,0,33,39,72,0,47,0,65.2777777777778,54.1666666666667,45.8333333333333
"67","2","1",5,8,12,6,8,10,7,10,8,9,6,11,9,7,9,12,66,74,140,17,16,12.1428571428571,11.4285714285714,52.8571428571429,47.1428571428571
"68","2","2",1,4,6,3,6,4,5,3,4,6,3,5,4,4,3,9,34,39,73,10,7,13.6986301369863,9.58904109589041,53.4246575342466,46.5753424657534
"69","2","3",1,2,2,2,2,2,3,3,3,2,2,4,3,4,3,1,20,22,42,2,4,4.76190476190476,9.52380952380952,52.3809523809524,47.6190476190476
"70","2","4",2,3,3,3,2,2,5,2,3,3,1,5,4,3,2,0,23,23,46,2,3,4.34782608695652,6.52173913043478,50,50
"71","2","5",4,3,2,4,3,0,3,5,3,3,1,3,4,4,5,5,26,29,55,9,1,16.3636363636364,1.81818181818182,52.7272727272727,47.2727272727273
"72","2","6",0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,7,3,11,14,7,0,50,0,78.5714285714286,21.4285714285714
"73","20","1",15,10,9,7,7,12,11,8,10,7,9,12,10,9,8,15,81,81,162,30,21,18.5185185185185,12.962962962963,50,50
"74","20","2",5,7,9,10,10,8,8,13,7,12,9,11,9,12,13,22,71,97,168,27,17,16.0714285714286,10.1190476190476,57.7380952380952,42.2619047619048
"75","20","3",1,4,6,6,3,7,9,11,4,9,4,14,10,11,11,15,49,79,128,16,11,12.5,8.59375,61.71875,38.28125
"76","20","4",1,2,1,3,0,2,2,5,1,2,1,4,3,3,4,0,16,21,37,1,3,2.7027027027027,8.10810810810811,56.7567567567568,43.2432432432432
"77","20","5",1,2,1,1,0,4,1,3,1,0,3,3,1,3,3,8,14,24,38,9,7,23.6842105263158,18.4210526315789,63.1578947368421,36.8421052631579
"78","20","6",0,0,1,2,1,4,2,5,0,3,4,4,2,4,4,26,15,50,65,26,8,40,12.3076923076923,76.9230769230769,23.0769230769231
"79","21","1",51,5,5,0,6,1,0,0,6,0,1,0,0,0,0,0,71,7,78,51,2,65.3846153846154,2.56410256410256,8.97435897435897,91.025641025641
"80","21","2",22,6,6,2,5,2,4,0,5,2,2,2,2,2,0,0,49,16,65,22,4,33.8461538461538,6.15384615384615,24.6153846153846,75.3846153846154
"81","21","3",10,8,4,5,6,1,5,2,7,2,3,2,3,4,2,0,43,24,67,10,4,14.9253731343284,5.97014925373134,35.8208955223881,64.1791044776119
"82","21","4",5,4,7,0,5,6,2,0,4,3,4,2,2,0,0,0,31,16,47,5,10,10.6382978723404,21.2765957446809,34.0425531914894,65.9574468085106
"83","21","5",19,4,6,1,6,1,1,0,4,3,1,0,1,0,0,0,41,9,50,19,2,38,4,18,82
"84","21","6",8,5,7,3,6,3,4,1,5,5,2,2,4,1,1,1,39,22,61,9,5,14.7540983606557,8.19672131147541,36.0655737704918,63.9344262295082
"85","22","1",3,3,5,4,6,8,3,4,4,6,9,2,4,3,4,3,39,35,74,6,17,8.10810810810811,22.972972972973,47.2972972972973,52.7027027027027
"86","22","2",6,4,5,2,4,3,3,2,3,3,2,3,3,2,2,4,31,23,54,10,5,18.5185185185185,9.25925925925926,42.5925925925926,57.4074074074074
"87","22","3",2,4,2,2,3,0,2,2,5,0,1,2,2,2,2,7,20,21,41,9,1,21.9512195121951,2.4390243902439,51.219512195122,48.780487804878
"88","22","4",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,5,2,7,0,2,0,28.5714285714286,28.5714285714286,71.4285714285714
"89","22","5",0,3,0,4,3,4,6,2,3,1,6,4,2,6,2,0,24,25,49,0,10,0,20.4081632653061,51.0204081632653,48.9795918367347
"90","22","6",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,9,0,75,0,0,100
"91","23","1",28,11,9,5,7,11,8,0,11,3,8,3,7,0,0,0,80,34,114,28,19,24.5614035087719,16.6666666666667,29.8245614035088,70.1754385964912
"92","23","2",4,6,4,7,5,3,4,7,5,6,4,4,6,5,7,5,42,43,85,9,7,10.5882352941176,8.23529411764706,50.5882352941176,49.4117647058824
"93","23","3",2,1,1,1,0,3,2,4,1,1,1,6,2,4,4,9,15,30,45,11,4,24.4444444444444,8.88888888888889,66.6666666666667,33.3333333333333
"94","23","4",0,0,1,0,0,4,3,5,0,1,3,7,1,6,4,12,13,37,50,12,7,24,14,74,26
"95","23","5",0,0,0,1,0,3,1,2,0,1,3,3,1,3,3,14,8,30,38,14,6,36.8421052631579,15.7894736842105,78.9473684210526,21.0526315789474
"96","23","6",1,1,2,1,3,5,3,1,1,2,6,3,0,5,1,0,18,20,38,1,11,2.63157894736842,28.9473684210526,52.6315789473684,47.3684210526316
"97","24","1",4,5,5,7,7,11,5,5,5,6,13,3,4,6,5,5,50,49,99,9,24,9.09090909090909,24.2424242424242,49.4949494949495,50.5050505050505
"98","24","2",3,7,12,2,14,5,0,3,7,7,8,1,0,4,3,1,48,32,80,4,13,5,16.25,40,60
"99","24","3",2,3,4,2,4,15,2,2,3,3,15,2,2,2,2,1,36,31,67,3,30,4.47761194029851,44.7761194029851,46.2686567164179,53.7313432835821
"100","24","4",4,3,4,1,4,1,0,1,2,2,1,0,1,0,1,4,20,12,32,8,2,25,6.25,37.5,62.5
"101","24","5",1,1,1,1,2,3,1,1,1,1,4,1,1,2,1,0,13,12,25,1,7,4,28,48,52
"102","24","6",0,0,5,1,6,6,1,0,1,6,7,0,1,1,0,0,22,16,38,0,13,0,34.2105263157895,42.1052631578947,57.8947368421053
"103","25","1",2,5,4,4,4,14,9,7,5,3,14,12,3,13,7,9,50,68,118,11,28,9.32203389830508,23.728813559322,57.6271186440678,42.3728813559322
"104","25","2",1,4,3,6,4,11,7,7,4,5,13,8,5,10,8,10,45,64,109,11,24,10.0917431192661,22.0183486238532,58.7155963302752,41.2844036697248
"105","25","3",3,6,7,6,10,14,8,6,6,7,16,9,3,11,6,5,61,65,126,8,30,6.34920634920635,23.8095238095238,51.5873015873016,48.4126984126984
"106","25","4",4,2,1,4,2,20,5,7,2,3,21,8,3,9,7,9,47,63,110,13,41,11.8181818181818,37.2727272727273,57.2727272727273,42.7272727272727
"107","25","5",2,5,7,3,10,41,5,0,5,5,45,2,0,5,0,0,75,63,138,2,86,1.44927536231884,62.3188405797101,45.6521739130435,54.3478260869565
"108","25","6",5,4,2,2,3,48,7,2,4,0,50,7,1,8,2,1,75,74,149,6,98,4.02684563758389,65.7718120805369,49.6644295302013,50.3355704697987
"109","26","1",10,11,11,5,10,9,6,7,11,5,8,8,6,7,7,11,72,63,135,21,17,15.5555555555556,12.5925925925926,46.6666666666667,53.3333333333333
"110","26","2",7,4,4,3,4,6,4,3,4,4,6,4,4,4,3,4,37,34,71,11,12,15.4929577464789,16.9014084507042,47.887323943662,52.112676056338
"111","26","3",0,1,1,2,2,1,2,1,1,3,2,1,1,2,1,0,12,12,24,0,3,0,12.5,50,50
"112","26","4",0,1,1,0,2,7,0,1,2,0,8,1,0,1,1,1,15,14,29,1,15,3.44827586206897,51.7241379310345,48.2758620689655,51.7241379310345
"113","26","5",2,3,3,2,3,4,1,2,3,2,4,1,1,2,2,2,21,19,40,4,8,10,20,47.5,52.5
"114","26","6",9,1,3,0,4,1,0,0,1,3,2,0,0,0,0,0,20,7,27,9,3,33.3333333333333,11.1111111111111,25.9259259259259,74.0740740740741
"115","27","1",0,2,1,3,0,2,2,13,2,2,1,12,5,11,14,74,25,122,147,74,3,50.3401360544218,2.04081632653061,82.9931972789116,17.0068027210884
"116","27","2",0,1,0,4,1,3,3,15,1,3,4,15,3,16,16,76,28,136,164,76,7,46.3414634146341,4.26829268292683,82.9268292682927,17.0731707317073
"117","27","3",0,1,2,3,2,1,2,9,1,4,1,8,3,8,9,56,20,93,113,56,2,49.5575221238938,1.76991150442478,82.3008849557522,17.6991150442478
"118","27","4",0,1,0,3,0,0,0,4,1,2,0,1,3,1,4,33,8,48,56,33,0,58.9285714285714,0,85.7142857142857,14.2857142857143
"119","27","5",0,0,1,1,0,4,0,6,0,2,3,6,2,5,7,28,13,55,68,28,7,41.1764705882353,10.2941176470588,80.8823529411765,19.1176470588235
"120","27","6",0,0,0,1,0,0,0,3,0,1,0,2,1,1,2,37,4,47,51,37,0,72.5490196078431,0,92.156862745098,7.84313725490196
"121","28","1",12,9,6,9,3,6,8,12,9,6,3,10,13,7,12,9,67,70,137,21,9,15.3284671532847,6.56934306569343,51.0948905109489,48.9051094890511
"122","28","2",21,9,7,10,9,6,13,3,10,8,8,5,9,7,3,1,81,51,132,22,14,16.6666666666667,10.6060606060606,38.6363636363636,61.3636363636364
"123","28","3",29,10,10,6,9,1,5,2,10,6,1,1,6,1,2,2,74,30,104,31,2,29.8076923076923,1.92307692307692,28.8461538461538,71.1538461538462
"124","28","4",10,4,7,0,7,2,0,0,4,3,2,0,0,0,0,0,33,9,42,10,4,23.8095238095238,9.52380952380952,21.4285714285714,78.5714285714286
"125","28","5",15,10,9,5,10,5,6,3,10,3,6,5,3,6,3,0,64,38,102,15,11,14.7058823529412,10.7843137254902,37.2549019607843,62.7450980392157
"126","28","6",5,7,6,6,7,4,6,4,7,5,4,4,5,4,4,8,46,43,89,13,8,14.6067415730337,8.98876404494382,48.314606741573,51.685393258427
"127","29","1",8,2,1,4,3,1,1,4,2,2,3,1,1,3,3,18,24,36,60,26,4,43.3333333333333,6.66666666666667,60,40
"128","29","2",1,2,2,2,1,3,3,0,2,3,2,1,4,0,1,1,16,15,31,2,5,6.45161290322581,16.1290322580645,48.3870967741936,51.6129032258064
"129","29","3",1,2,0,2,1,0,2,0,2,0,0,0,1,0,0,0,9,5,14,1,0,7.14285714285714,0,35.7142857142857,64.2857142857143
"130","29","4",3,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,8,7,15,4,1,26.6666666666667,6.66666666666667,46.6666666666667,53.3333333333333
"131","29","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,50,50
"132","29","6",2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,7,2,9,2,2,22.2222222222222,22.2222222222222,22.2222222222222,77.7777777777778
"133","3","1",2,1,3,2,1,5,5,0,1,4,2,3,4,0,0,0,20,16,36,2,7,5.55555555555556,19.4444444444444,44.4444444444444,55.5555555555556
"134","3","2",0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,4,3,7,0,1,0,14.2857142857143,42.8571428571429,57.1428571428571
"135","3","3",3,3,3,1,3,3,1,0,3,1,2,0,1,0,0,0,18,9,27,3,5,11.1111111111111,18.5185185185185,33.3333333333333,66.6666666666667
"136","3","4",4,6,5,2,7,7,3,2,6,2,9,3,1,5,3,5,38,35,73,9,16,12.3287671232877,21.9178082191781,47.9452054794521,52.0547945205479
"137","3","5",14,9,12,5,14,9,2,3,9,9,11,0,4,2,3,5,70,44,114,19,20,16.6666666666667,17.5438596491228,38.5964912280702,61.4035087719298
"138","3","6",48,7,13,0,13,16,1,1,7,6,16,2,0,2,1,2,102,36,138,50,32,36.231884057971,23.1884057971014,26.0869565217391,73.9130434782609
"139","30","1",8,5,3,3,2,11,2,7,5,1,10,6,4,5,7,4,42,44,86,12,21,13.953488372093,24.4186046511628,51.1627906976744,48.8372093023256
"140","30","2",8,5,4,5,2,4,4,5,5,4,2,4,6,3,5,9,38,40,78,17,6,21.7948717948718,7.69230769230769,51.2820512820513,48.7179487179487
"141","30","3",0,1,2,2,1,4,5,4,1,2,4,7,2,7,4,6,21,34,55,6,8,10.9090909090909,14.5454545454545,61.8181818181818,38.1818181818182
"142","30","4",0,0,2,0,0,2,1,0,0,2,0,2,2,0,1,0,6,9,15,0,2,0,13.3333333333333,60,40
"143","30","5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,0,0,0,0,75,25
"144","30","6",1,1,2,0,1,2,1,1,1,2,1,2,1,1,1,0,11,10,21,1,3,4.76190476190476,14.2857142857143,47.6190476190476,52.3809523809524
"145","31","1",38,12,7,6,7,2,5,2,13,1,2,1,6,1,2,0,82,26,108,38,4,35.1851851851852,3.7037037037037,24.0740740740741,75.9259259259259
"146","31","2",47,12,11,3,11,4,2,1,13,1,4,0,3,0,1,0,94,22,116,47,8,40.5172413793103,6.89655172413793,18.9655172413793,81.0344827586207
"147","31","3",12,13,16,7,13,20,9,6,13,10,17,7,10,5,6,3,97,73,170,15,37,8.82352941176471,21.7647058823529,42.9411764705882,57.0588235294118
"148","31","4",20,14,17,8,17,11,10,3,14,11,12,5,8,6,4,2,102,63,165,22,23,13.3333333333333,13.9393939393939,38.1818181818182,61.8181818181818
"149","31","5",10,9,12,1,9,22,2,2,9,4,20,3,3,1,2,1,69,44,113,11,42,9.73451327433628,37.1681415929204,38.9380530973451,61.0619469026549
"150","31","6",17,8,13,6,15,10,6,2,8,11,13,1,4,4,2,0,79,44,123,17,23,13.8211382113821,18.6991869918699,35.7723577235772,64.2276422764228
"151","32","1",9,6,8,2,7,23,2,1,5,4,23,1,2,1,1,0,60,38,98,9,46,9.18367346938776,46.9387755102041,38.7755102040816,61.2244897959184
"152","32","2",6,5,8,1,6,15,0,3,5,4,14,2,2,1,3,3,46,35,81,9,29,11.1111111111111,35.8024691358025,43.2098765432099,56.7901234567901
"153","32","3",1,3,10,3,9,20,3,1,3,10,20,1,3,1,1,0,52,40,92,1,40,1.08695652173913,43.4782608695652,43.4782608695652,56.5217391304348
"154","32","4",2,2,8,1,7,30,5,0,2,7,30,4,2,3,0,0,57,49,106,2,60,1.88679245283019,56.6037735849057,46.2264150943396,53.7735849056604
"155","32","5",1,2,2,3,4,30,6,1,2,3,32,4,1,6,1,1,50,52,102,2,62,1.96078431372549,60.7843137254902,50.9803921568627,49.0196078431373
"156","32","6",2,4,7,5,8,24,7,3,4,8,26,5,4,6,3,2,62,59,121,4,50,3.30578512396694,41.3223140495868,48.7603305785124,51.2396694214876
"157","33","1",1,2,3,5,6,13,9,9,2,6,16,13,2,16,8,15,48,81,129,16,29,12.4031007751938,22.4806201550388,62.7906976744186,37.2093023255814
"158","33","2",5,4,4,5,4,12,5,9,4,5,13,9,4,10,9,19,50,74,124,24,25,19.3548387096774,20.1612903225806,59.6774193548387,40.3225806451613
"159","33","3",3,5,14,4,10,19,7,6,5,12,15,9,7,5,5,5,68,66,134,8,34,5.97014925373134,25.3731343283582,49.2537313432836,50.7462686567164
"160","33","4",6,4,6,7,6,12,6,9,4,9,12,8,7,9,10,6,57,67,124,12,24,9.67741935483871,19.3548387096774,54.0322580645161,45.9677419354839
"161","33","5",4,4,6,4,6,20,7,6,4,6,19,9,5,8,6,3,59,61,120,7,39,5.83333333333333,32.5,50.8333333333333,49.1666666666667
"162","33","6",6,9,30,2,30,8,1,2,9,23,9,1,2,1,2,2,90,50,140,8,17,5.71428571428571,12.1428571428571,35.7142857142857,64.2857142857143
"163","34","1",0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,4,6,10,0,0,0,0,60,40
"164","34","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4,0,0,0,0,50,50
"165","34","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,100,0
"166","34","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,100
"167","34","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
